,tweet_preprocessing,sentimen
61,shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat,negatif
62,buka dm min ga respon kek doi ,negatif
63,mohon bantuannya sy pesan barang pelapak stuff station id transaksi tgl pelaâ ,negatif
64,mohon bantuannya sy pesan barang pelapak stuff station id transaksi tgl pela ,negatif
65,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
66,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
67,iyaa duls shopee tokped udah mitra pegadaian kalo bukaemas,positif
68,bukalapak emang cincai harga santai kagak lebay dinego aje say say,positif
69,bukalapak emang cincai harga santai kagak lebay dinego aje say say,positif
70,hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xx,negatif
71,hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xx,negatif
72,terimakasih admin cakep hati kirim pesan pelapak dihiraukan ,negatif
73,bukalapak cincau harga santai kagak lebay dinego aje sayy sayy ,positif
74,yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli ,positif
75,yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli ,positif
76,biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yuk,positif
77,biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yuk,positif
78,bukalapak ovo skil academy tolong pusing ,negatif
79,buku das kapital ribu bukalapak udah buku ,positif
80,buku das kapital ribu bukalapak udah buku ,positif
81,rekening sih gk keterangan bank ak klo nabung top up alfa,netral
82,rt ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual bukalapak,positif
83,rt ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual buka,positif
84,rt buku das kapital ribu bukalapak udah buku ,positif
85,rt buku das kapital ribu bukalapak udah buku ,positif
86,iya nih bukalapak sepi sepi aja,negatif
87,bukalapak promo moms,positif
88,makasih min,positif
89,bukalapak chino k jaket jeans k kemeja denim k dll pin fce hp ,netral
90,yg gue tanganin kenalan mi chat open room suruh tf bukalapak hadehhh hadehhh pusing,negatif
91,kereeeenn bgt pdhl pas th bukalapak udh up bgt ,positif
92,cek perlengkapan butuhkan harganya terbaik ,positif
93,cek produk new update bukalapak,netral
94,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
95,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku,positif
96,tau jumat bukalapa bukamall festival flash deal ,netral
97,oke kak lupa jaga kesehatan ya kendala bukalapak silakan,positif
98,oke kak lupa jaga kesehatan ya kendala bukalapak silakan,positif
99,tolong voucher diterbitkan aja udah ampir sebulan gak hasil,negatif
100,tolong voucher diterbitkan aja udah ampir sebulan gak hasil,negatif
101,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
102,gila potongan super seller cuy pantesan platform sepi super seller nggak aja ,negatif
103,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
104,hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak ,negatif
105,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
106,hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak ,negatif
107,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
108,investasi emas,positif
109,investasi emas,positif
110,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis,positif
111,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis,positif
112,rt follow akun official store ya mendapakan update terbaru terkait produk ,positif
113,penjual yg pake super seller bukalapak hasilnya gmn yak yg super seller berasa imbasnya ,negatif
114,gw bgt tim ui ux nya shopee bukalapak,positif
115,gw bgt tim ui ux nya shopee bukalapak,positif
116,jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak ,positif
117,jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak ,positif
118,proses komplain transaksi blipkbmcinv ,negatif
119,belanja bukalapak bayarnya pakai coba vote,netral
120,belanja bukalapak bayarnya pakai coba vote ,netral
121,profesional berhati kawan lupa kode unik,negatif
122,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm,negatif
123,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm no,negatif
124,pastikan kali trakhir makai pilihan topuo aktivitas sehari,negatif
125,pastikan kali trakhir makai pilihan topuo aktivitas sehari,negatif
126,order pomade langsung bukalapak,positif
127,order pomade langsung bukalapak,positif
128,bunyi apatuh suara perut hihihihi perut laper langsung aja buka bukafood pilihan makanan,netral
129,maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm ya,negatif
130,maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm ya,negatif
131,basi jawabanmu gaada kejelasan gaada penyelesaian,negatif
132,basi jawabanmu gaada kejelasan gaada penyelesaian,negatif
133,ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim,positif
134,ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim,positif
135,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak,negatif
136,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak,negatif
137,nggak belanja ono,negatif
138,penggemar setia bukalapak terima kasih user experience ya,positif
139,amankah nabung emas bukalapak merger perusahaan nasib emas ,netral
140,coba cicil emas bukalapak cuan mi promo nih nih cicilan bukaemas,positif
141,kak penarikan dana kerekning bca status pending ya ,negatif
142,kak penarikan dana kerekning bca status pending ya ,negatif
143,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku,positif
144,cek perlengkapan butuhkan harganya terbaik ,positif
145,cek perlengkapan butuhkan harganya terbaik ,positif
146,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
147,kelanjutan dana sayaa btuh uang bayar angsuran yaallah,negatif
148,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
149,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
150,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
151,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh,negatif
152,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh,negatif
153,lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa,positif
154,mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan,negatif
155,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
156,lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa,positif
157,mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan,negatif
158,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
159,salah kode unik udh nungfu disuruh nungfu brpa woy ,negatif
160,salah kode unik udh nungfu disuruh nungfu brpa woy ,negatif
161,order pomade langsung bukalapak,positif
162,order pomade langsung bukalapak,positif
163,mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
164,mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
165,bukalapak undang gue lol sesuai target audience nya,negatif
166,kumpulan novel fiksi import bhs inggris best seller in maret,positif
167,dah kerja bukalapak tp gapernah post ,negatif
168,pelapak dirugikan cancel orderan persetujuan pelapak,negatif
169,pelapak dirugikan cancel orderan persetujuan pelapak,negatif
170,marketplace konyol yg,negatif
171,marketplace konyol yg,negatif
172,gak ngebadut ya syopii sampe gua pindah haluan bukalapak ,netral
173,gk dibls keluhan,negatif
174,kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak dibaca,negatif
175,kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak dibaca,negatif
176,proses semoga bertahan dgn membatalkan transaksi yg sdh diproses,negatif
177,proses semoga bertahan dgn membatalkan transaksi yg sdh diproses,negatif
178,netijen please do your magic bantu jualan gue bukalapak yuk belinya ,positif
179,netijen please do your magic bantu jualan gue bukalapak yuk belinya ,positif
180,jual bukalapak carousel deh cepet lakunya,positif
181,jual bukalapak carousel deh cepet lakunya,positif
182,loopers cus streaming internetan lancar pake kartu perdana internet telkomsel beli aja,positif
183,memiliki bukti perbaikan pasien signifikan,negatif
184,memiliki bukti perbaikan pasien signifikan,negatif
185,kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan,negatif
186,kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan,negatif
187,saksikan live streaming leadership talks strategi perjuangan perusahaan era pandemic sebentar,positif
188,pembeli gk dihubungi aja transaksi laporkan viralkan,negatif
189,pembeli gk dihubungi aja transaksi laporkan viralkan,negatif
190,tersedia jg bukalapak shopee toped wa bro,positif
191,kak maaf banget kendalanya bella cek kendala kakak bella bantu,negatif
192,kak maaf banget kendalanya bella cek kendala kakak bella bantu,negatif
193,gamenang beli mmm gatau sih msti prcya engga bantuin bukalapak,negatif
194,perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program,positif
195,perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program,positif
196,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja,positif
197,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja,positif
198,rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program,positif
199,rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program,positif
200,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
201,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
202,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
203,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
204,pas banget doyan aktivitas media digital streaming film sampe nge game ,positif
205,pas banget doyan aktivitas media digital streaming film sampe nge game ,positif
206,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
207,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
208,jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up game,positif
209,jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up game,positif
210,dorong industri game bukalapak hadirkan program turnamen asik,positif
211,hai kak mohon maaf kendalanya ya keamanan data kakak pindah dm yuk kak infoin alamat,negatif
212,harga amazon usd sampe usd shipping bea cukai dijual juta,negatif
213,rt harga amazon usd sampe usd shipping bea cukai dijual juta,negatif
214,nyari temen diajak deeptalk bukalapak gak ya ,netral
215,bukalapak menu investasi emas layanan nabung emas batangan,positif
216,bukalapak menu investasi emas layanan nabung emas batangan,positif
217,deeptalk bukalapak tuh hyung ,netral
218,setuju sy dgn perhatian olshop,positif
219,min membatalkan transaksi merubah kurir susah ya,negatif
220,min membatalkan transaksi merubah kurir susah ya,negatif
221,hi admin no tagihan blizxxehinv bayar sy disuruh nunggu verifikasi batas,negatif
222,hi admin no tagihan blizxxehinv bayar sy disuruh nunggu verifikasi batas,negatif
223,rt tabungan bni buka tabungan bni mudah dgn aplikasi bni mobile banking hadiah ekstra e voucher,positif
224,hai kak maaf banget nggak nyaman ya kak yuk lampirkan bukti pembayaran dm,negatif
225,hai kak maaf banget nggak nyaman ya kak yuk lampirkan bukti pembayaran dm,negatif
226,buka usaha min ,positif
227,sertifikat prakerja tertahan bukalapak cc,negatif
228,bukalapak emang cincay,positif
229,bukalapak emang cincay,positif
230,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
231,fix gua gabut malem dengerin lagu iklan bukalapak,negatif
232,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
233,fix gua gabut malem dengerin lagu iklan bukalapak,negatif
234,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses,negatif
235,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses ,negatif
236,beli hp bos,positif
237,kirain rui pake embel bukalapak kek sheeps ,netral
238,checkout marketplace punyanya dana gopay dm aja yuk bantu ,netral
239,kak mohon maaf kendalanya ya kak bela bantu kak pemeriksaannya,negatif
240,kak mohon maaf kendalanya ya kak bela bantu kak pemeriksaannya,negatif
241,males bukalapak kayaknya seller merasakan yg,negatif
242,males bukalapak kayaknya seller merasakan yg,negatif
243,rt tgl juni ngeh bayar pajak motor cobain perpanjang online via app samolnas bayar bukalapak,positif
244,rt tgl juni ngeh bayar pajak motor cobain perpanjang online via app samolnas bayar bukalapak,positif
245,hai kak maaf banget ya kendalanya yuk lampirkan screenshot kendalanya dm bella bantu cek ya kak ,negatif
246,bukalapak emang cincai,positif
247,sukses meningkatkan produktivitas membutuhkan faktor,positif
248,sukses meningkatkan produktivitas membutuhkan faktor ,netral
249,g beli disitu nder tp klo ak kenalan seller shopee bukalapak tokoped jualn,netral
250,yukk rb aja bukalapak ready biar enak,positif
251,yukk rb aja bukalapak ready biar enak,positif
252,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
253,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
254,dibayar tagihan gak terkonfirmasi kadaluwarsa duit ga refund,negatif
255,bahagia cashback bukalapak rb wahhh,positif
256,min akun bukalapak toko lokasi berbeda ,netral
257,halo kak maaf bikin nggak nyaman diinfokan detail kendala nomor telepon alamat email,negatif
258,halo kak maaf bikin nggak nyaman diinfokan detail kendala nomor telepon alamat email,negatif
259,mending reksadana aja ahh return nya perlahan yg sih gede bunga deposito,positif
260,mending reksadana aja ahh return nya perlahan yg sih gede bunga deposito,positif
261,reksadana aja reksadana saham murah murah harganya,positif
262,reksadana nyaman aja manajer investasi dipercaya,positif
263,reksadana aja reksadana saham murah murah harganya,positif
264,reksadana nyaman aja manajer investasi dipercaya,positif
265,reksadana pastinya kalo emas sih mah returnnya tergantung kalo peristiwa dunia doang,positif
266,reksadana pastinya kalo emas sih mah returnnya tergantung kalo peristiwa dunia doang,positif
267,pilih reksadana aja nabung reksadana,positif
268,pilih reksadana aja nabung reksadana,positif
269,reksadana diawasi ojk,positif
270,reksadana diawasi ojk,positif
271,reksa dana ud konsultasi ahlinya telegram disediakan bukalapak,positif
272,reksa dana ud konsultasi ahlinya telegram disediakan bukalapak,positif
273,reksa dana gratis dividen tahunnya resiko pendapatan saham campuran,positif
274,reksa dana gratis dividen tahunnya resiko pendapatan saham campuran,positif
275,reksa dana larena macamnya reksa dana pasar uang pendapatan saham ,positif
276,reksa dana larena macamnya reksa dana pasar uang pendapatan saham ,positif
277,reksa dana menjual reksa dana pasar uang instan menit bukalapak,positif
278,reksa dana menjual reksa dana pasar uang instan menit bukalapak,positif
279,checkout marketplace punyanya dana gopay dm aja yuk bantu,netral
280,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
281,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
282,gak dibuka ya bl android update playstore update gimana ,negatif
283,cek perlengkapan butuhkan harganya terbaik ,positif
284,rt belanja keperluan si bukalapak aja gak rumah praktis ,positif
285,rt yokk belanja belanjaaa,positif
286,kubah masjid enamel stainless harga murah dipesan,positif
287,bosku promo transaksi bukalapak cek promo,positif
288,bosku promo transaksi bukalapak cek promo,positif
289,paket lion parcel gak tracking bukalapak barang bergerak,negatif
290,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
291,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
292,cek perlengkapan butuhkan harganya terbaik ,positif
293,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
294,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
295,cs suruh terusan menunggu ya gimana ya uang bayar jam tanggal oktober,negatif
296,cs suruh terusan menunggu ya gimana ya uang bayar jam tanggal oktober,negatif
297,tolong ya kak akun uang masuk bukalapak status order kadaluarsa ,negatif
298,tolong ya kak akun uang masuk bukalapak status order kadaluarsa ,negatif
299,investor korea selatan gencar berinvestasi startup asia tenggara bukalapak grab korea investm,positif
300,reksa dana dana dikumpulkan dibelanjakan aplikasi bukalapak,positif
301,reksa dana dana dikumpulkan dibelanjakan aplikasi bukalapak,positif
302,reksa dana promo promo menarik cashback pembelian reksa dana,positif
303,reksa dana promo promo menarik cashback pembelian reksa dana,positif
304,reksa dana cashback credit didapatkan belanja menabung reksa dana bukalapak,positif
305,reksa dana cashback credit didapatkan belanja menabung reksa dana bukalapak,positif
306,ngaku anak motor anak mobil pas banget nih pasar diskon otomotif bukalapak ,positif
307,biar asik seru long weekend nya kuy bukalapak,positif
308,tanggal update status resi kak,negatif
309,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
310,tanggal update status resi kak,negatif
311,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
312,x jam kak uang syaa akun bukti pembayaran kak tanggal,negatif
313,paketkuuu dibawa kurir gak nyampe nyampe kenapaaa ,negatif
314,hai kak maaf banget kendalanya mohon informasikan nomor transaksinya ya kak contoh ,negatif
315,pembayaran kartu kredit applikasi bl dg internet banking ,negatif
316,halo terinspirasi ,positif
317,paket nomor resi terkena status criss cross ,negatif
318,kak senang hati bella bantu yuk ngobrolnya pindah inbox mohon info,negatif
319,mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
320,mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
321,ngeblok gc permintaan pengembalian uang yg salah toko penjual ,negatif
322,gambar tiang cs lapaknya bilang tiang sembarang aja terima penjual,negatif
323,min tolong pesanan ane dgn no transaksi batalkan seller no respon ,negatif
324,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
325,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
326,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
327,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
328,pas banget jam dapetin masker mediheal x bt harga spesial ,positif
329,bismillah mudah mudaha si cepat dapet hadiah amiin wha ,positif
330,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
331,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
332,sms nya bukalapak transaksi ,negatif
333,sms nya bukalapak transaksi ,negatif
334,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
335,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
336,fitur buka send paket diluar bukalapak brg yg tdk jual bukalapak,negatif
337,fitur buka send paket diluar bukalapak brg yg tdk jual bukalapak,negatif
338,maaf banget kendala dicoba berkala logiut log in akun bukalapak,positif
339,ketipu untung keburu curiga ikutin petunjuk pelapak ,negatif
340,terimakasih infonya ,netral
341,yg sms bukalapak ,positif
342,hai kak maaf nyaman ya kak terkait pemberitahuan aplikasi bukalapak ,negatif
343,kak mohon maaf kakak transaksi,negatif
344,transaksi okt clear no resinya resi sms tsb ,negatif
345,transaksi okt clear no resinya resi sms tsb ,negatif
346,maba computing ku ajar kmrn yg udh lulus d and kerja bukalapak ,positif
347,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
348,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
349,investasi reksadana mudah risiko kerugiannya suka investasi reksadana,positif
350,developer bukalapak bang remote work skrng,positif
351,alhamadulillah nya saia koneksi intern d bukalapak yayyyyy,positif
352,hai kak maaf ya kendala kuyy bella bantu kak infoin nomor telepon email akun bukalapak,negatif
353,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
354,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
355,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
356,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
357,cek perlengkapan butuhkan harganya terbaik ,positif
358,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
359,semenjak pandemi market karuan alias crash kesempatanku konsisten nabung,positif
360,jual kejutan kejutan francine pascal rp pesan via bukalapak klik,positif
361,jual kejutan kejutan francine pascal rp pesan via bukalapak ,positif
362,min bsa bantu alamat kantor sicepat d lhokseumawe aceh ,netral
363,ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsung,netral
364,rt ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsung official,netral
365,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
366,hei bos rubah orderan buyer sy resi otomatis sicepat manual jne acc bl,negatif
367,rt dapatkan diskon spesial im ooredoo bukalapak ,positif
368,investasi emas menurutku resikonya rendah emas mahal,positif
369,pas modal k,positif
370,order pomade langsung bukalapak,positif
371,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
372,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
373,tenaaang tetep belanja ngerasain nya ,positif
374,udah gak belanja bl toko gak verified trus promo nya gak hijau ,negatif
375,udah gak belanja bl toko gak verified trus promo nya gak hijau p ,negatif
376,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
377,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
378,peserta kartu prakerja gelombang lupa ya beli pelatihan pertamanya ,positif
379,min bukalapak lemot yaa aplikasinya nya,negatif
380,hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomor,negatif
381,hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomor,negatif
382,siang kak maaf kendala sertifikatnya nih bikin nunggu bella cek kendalan,negatif
383,hai kak kakak mengalami kendala terkait mitra bukalapak menghubungi cs mitra bukalapak,negatif
384,waah sih milih investasi emas yah emas harganya cenderung stabil ,positif
385,tolong dibantu penjualan no pesanan diterima pembeli pembeli,negatif
386,hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email alamat,negatif
387,hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email,negatif
388,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapak,negatif
389,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapak,negatif
390,hai kak maaf banget nggak nyaman ya kak yuk infoin detail kendala dm,negatif
391,hi kak maaf ketidaknyamanannya ya kak bella infokan proses jual instan mengikuti aturan,negatif
392,saldo pulsa nya blm masuk,negatif
393,gimana ya min transfer selisihnya ,netral
394,hallo kak maaf nih saldo pulsa kakak masuk pindah dm yuk kak ngobrolnya biar enak,negatif
395,kesulitan pengiriman barang jual berat mohon bantuannya,negatif
396,hai kak senang hati bella informasikan mengaktifkan kurir lapak,negatif
397,yakiiin lho jam malem ,netral
398,for sale like new pengiriman tangsel transaksi bukalapak shopee by request nego ,positif
399,biar jam malem nya berfaedah nih kasih promo flash deal pigeon breast pump electric go mini,positif
400,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih,negatif
401,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih,negatif
402,halo min dpt sms notifikasi ganti no telf akun bl dapet email ya ,netral
403,biarcepet laku spefikasi dm aj harga free ongkir rekber tokped bukalapak,positif
404,cek perlengkapan butuhkan harganya terbaik ,positif
405,cek perlengkapan butuhkan harganya terbaik ,positif
406,checkout marketplace punyanya dana gopay dm aja yuk bantu,netral
407,rt biar jam malem nya berfaedah nih kasih promo flash deal pigeon breast pump electric go mini,positif
408,asli sisten jualan bl bobrok barang dikirim pake resi manual disetujui bl min,negatif
409,saldo gaditerusin buka dompet penjual disetujui merubah resi otomatis manual rugi penjual,negatif
